folder,file,matched_item,item_id,code,dept,current_image,score,gap,decision,target_image
الإيطالي,"كاليزوني خضار.jpg","كاليزوني خضار",7,316,كاليزوني,items/316.jpg,1,0,REVIEW,items/316.jpg
الإيطالي,"كاليزوني دجاج + شيبس.jpeg","كاليزوني دجاج",9,321,كاليزوني,items/321.jpg,1,0,REVIEW,items/321.jpeg
الإيطالي,ميجا.jpg,ميجا,14,330,ايطالي,items/330.jpg,1,0,REVIEW,items/330.jpg
الإيطالي,"بيتزا مكسيكي دجاج.jpg","بيتزا مكسيكي",10,322,ايطالي,items/322.jpg,0.996,0,REVIEW,items/322.jpg
الإيطالي,مارجريتا.jpg,"بيتزا مارجريتا وسط",2,303,ايطالي,items/303.jpg,0.817,0,REVIEW,items/303.jpg
الإيطالي,"بيتزا ماما روزا بالاناناس.jpg","ماما روزا بالأناناس وسط",4,307,ايطالي,items/307.jpg,0.81,0,REVIEW,items/307.jpg
الإيطالي,"بيتزا خضار.jpg","بيتزا صغير",48,411,معجنات,,0.778,0,REVIEW,items/411.jpg
الإيطالي,نابولي.jpg,"بيتزا نابولي وسط",1,301,ايطالي,items/301.jpg,0.75,0,REVIEW,items/301.jpg
الإيطالي,"صوص رانش.jpeg",اورا,87,562,كيك,,0.636,0,NO_MATCH,items/562.jpeg
الجيلاتو,"جيلاتو عربية.jpeg","جيلاتو عربية",118,616,جيلاتو,items/616.jpg,1,0,REVIEW,items/616.jpeg
الجيلاتو,"جيلاتو كراميل.jpeg",جيلاتوكراميل,119,617,جيلاتو,items/617.jpg,1,0,REVIEW,items/617.jpeg
الجيلاتو,"جيلاتو كيندر.jpeg","جيلاتو كيندر",116,614,جيلاتو,items/614.jpg,1,0,REVIEW,items/614.jpeg
الجيلاتو,"جيلاتو لوتس.jpeg","جيلاتو لوتس",123,621,جيلاتو,items/621.jpg,1,0,REVIEW,items/621.jpeg
الجيلاتو,"جيلاتو نوتيلا.jpeg","جيلاتو نوتيلا",121,619,جيلاتو,items/619.jpg,1,0,REVIEW,items/619.jpeg
الجيلاتو,"جيلاتو بستاشيو.jpeg","جيلاتو بيستاشيو",122,620,جيلاتو,items/620.jpg,0.963,0,REVIEW,items/620.jpeg
الجيلاتو,"جيلاتو بلوبيري.jpeg","جيلاتو بلوبري",117,615,جيلاتو,items/615.jpg,0.96,0,REVIEW,items/615.jpeg
"الحلويات الشرقية","بسبوسة نوتيلا.jpeg","بسبوسة نوتيلا",135,709,"حلويات شرقية",items/709.jpg,1,0,REVIEW,items/709.jpeg
"الحلويات الشرقية","بقلاوة عين جمل.jpg","بقلاوة عين جمل",171,780,"حلويات شرقية",items/780.jpg,1,0,REVIEW,items/780.jpg
"الحلويات الشرقية","بقلاوة لوز.jpg","بقلاوة لوز",160,745,"حلويات شرقية",items/745.jpg,1,0,REVIEW,items/745.jpg
"الحلويات الشرقية","بورما حلبي.jpeg","بورما حلبي",183,792,"حلويات شرقية",items/792.jpg,1,0,REVIEW,items/792.jpeg
"الحلويات الشرقية","دولمة حلبي.jpg","دولمة حلبي",179,788,"حلويات شرقية",items/788.jpg,1,0,REVIEW,items/788.jpg
"الحلويات الشرقية","دولمة شوكولاتة.jpg","دولمة شوكولاتة",181,790,"حلويات شرقية",items/790.jpg,1,0,REVIEW,items/790.jpg
"الحلويات الشرقية",سنيورة.jpg,سنيورة,159,744,"حلويات شرقية",items/744.jpg,1,0,REVIEW,items/744.jpg
"الحلويات الشرقية","عش البلبل.jpg","عش البلبل",131,701,"حلويات شرقية",items/701.jpg,1,0,REVIEW,items/701.jpg
"الحلويات الشرقية","كاسات مكسرات.jpg","كاسات مكسرات",177,786,"حلويات شرقية",items/786.jpg,1,0,REVIEW,items/786.jpg
"الحلويات الشرقية",كلاج.jpg,كلاج,132,704,"حلويات شرقية",items/704.jpg,1,0,REVIEW,items/704.jpg
"الحلويات الشرقية","كنافة عربية.jpeg","كنافة عربية",138,712,"حلويات شرقية",items/712.jpg,1,0,REVIEW,items/712.jpeg
"الحلويات الشرقية",نابلسية.jpg,"نابلسية 10",173,782,"حلويات شرقية",,1,0,REVIEW,items/782.jpg
"الحلويات الشرقية",نمورة.jpeg,نمورة,155,740,"حلويات شرقية",items/740.jpg,1,0,REVIEW,items/740.jpeg
"الحلويات الشرقية","معكوفة لوز.jpg",معكوفه,190,799,"حلويات شرقية",items/799.jpg,0.95,0,REVIEW,items/799.jpg
"الحلويات الشرقية","أساور لوز.jpeg",اساور,157,742,"حلويات شرقية",items/742.jpg,0.919,0,REVIEW,items/742.jpeg
"الحلويات الشرقية",بسبوسة.jpeg,"بسبوسة قشطة",134,708,"حلويات شرقية",items/708.jpg,0.9,0,REVIEW,items/708.jpeg
"الحلويات الشرقية","بقلاوة حلبي.jpg","بقلاوة بالحلبي",180,789,"حلويات شرقية",items/789.jpg,0.87,0,REVIEW,items/789.jpg
"الحلويات الشرقية","بلورية حلبي.jpeg","بلورية بالحلبي",182,791,"حلويات شرقية",items/791.jpg,0.87,0,REVIEW,items/791.jpeg
"الحلويات الشرقية","كول واشكر.jpg","كل وشكر",158,743,"حلويات شرقية",items/743.jpg,0.857,0,REVIEW,items/743.jpg
"الحلويات الشرقية","معكوفة عين جمل.jpg",معكوفه,190,799,"حلويات شرقية",items/799.jpg,0.817,0,REVIEW,items/799.jpg
"الحلويات الشرقية",وربات.jpg,وريات,156,741,"حلويات شرقية",,0.8,0,REVIEW,items/741.jpg
"الحلويات الشرقية","بلورية حلبي نوتيلا.jpeg","كريب نوتيلا",77,552,"حلويات غربية",items/552.jpg,0.731,0,REVIEW,items/552.jpeg
"الحلويات الشرقية",صرة.jpg,غريبة,170,758,"كعك ومعمول",,0.625,0,NO_MATCH,items/758.jpg
"السلطات والمقبلات",بطاطا.jpeg,"بطاطا كبير",27,347,"وجبات غربية",items/347.jpg,0.864,0,REVIEW,items/347.jpeg
"السلطات والمقبلات",تركية.jpeg,"سلطة تركية",257,951,"سلطات واضافات",items/951.jpg,0.864,0,REVIEW,items/951.jpeg
"السلطات والمقبلات","ذرة مايونيز.jpeg","سلطة مايونيز",256,950,"سلطات واضافات",items/950.jpg,0.857,0,REVIEW,items/950.jpeg
"السلطات والمقبلات","سلطات مشكلة.jpeg","حلويات مشكلة",140,719,"حلويات شرقية",,0.81,0,REVIEW,items/719.jpeg
"السلطات والمقبلات",بيكانتي.jpeg,"ايس كافي",197,806,مشاريب,items/806.jpg,0.714,0,NO_MATCH,items/806.jpeg
"السلطات والمقبلات",ملفوف.jpeg,ملكية,189,798,"حلويات شرقية",,0.7,0,NO_MATCH,items/798.jpeg
"السلطات والمقبلات","كول سلو.jpeg","كولا 330ملم",115,610,"مشاريب غازية",items/610.jpg,0.69,0,NO_MATCH,items/610.jpeg
"السلطات والمقبلات",ثومية.jpeg,نمورة,155,740,"حلويات شرقية",items/740.jpg,0.6,0,NO_MATCH,items/740.jpeg
الشاورما,"شاورما عربي.jpg","شاورما عربي",238,911,شاورما,items/911.jpg,1,0,REVIEW,items/911.jpg
الشاورما,"شاورما نابلسي.jpg","شاورما نابلسي",239,912,شاورما,items/912.jpg,1,0,REVIEW,items/912.jpg
الشاورما,"صحن شاورما (2).jpg","صحن شاورما",255,932,شاورما,,1,0,REVIEW,items/932.jpg
الشاورما,"صحن شاورما.jpg","صحن شاورما 30",242,915,شاورما,items/915.jpg,1,0,REVIEW,items/915.jpg
الشاورما,"فرشوحة عادي.jpg","فرشوحة عادي",231,900,شاورما,items/900.jpg,1,0,REVIEW,items/900.jpg
الشاورما,"فرشوحه دبل دبل.jpg","فرشوحة دبل",232,901,شاورما,items/901.jpg,1,0,REVIEW,items/901.jpg
الشاورما,"فرشوحه دبل لحمة.jpg","فرشوحة دبل لحمة",233,902,شاورما,items/902.jpg,1,0,REVIEW,items/902.jpg
الشاورما,"فرشوحه دبل.jpg","فرشوحة دبل",232,901,شاورما,items/901.jpg,1,0,REVIEW,items/901.jpg
الشاورما,صفيحة.jpg,"صفيحة حبش",247,921,شاورما,,0.919,0,REVIEW,items/921.jpg
الشاورما,سوري.jpg,"سوري حبش",248,922,شاورما,,0.877,0,REVIEW,items/922.jpg
الشاورما,"بيتا شاورما.jpg","ببجي شاورما",252,929,شاورما,,0.8,0,REVIEW,items/929.jpg
الشاورما,باشكا.jpg,"شاورما باشكا",240,913,شاورما,items/913.jpg,0.775,0,REVIEW,items/913.jpg
"الكيك والحلويات",تريلتشا.jpg,تريلتشا,58,522,كيك,items/522.jpg,1,0,REVIEW,items/522.jpg
"الكيك والحلويات","تشيز كيك.jpg","تشيز كيك",97,572,كيك,items/572.jpg,1,0,REVIEW,items/572.jpg
"الكيك والحلويات",سوبريم.jpg,سوبريم,68,540,كيك,items/540.jpg,1,0,REVIEW,items/540.jpg
"الكيك والحلويات","قطع كيك كلاسيكي.jpg","قطع كيك كلاسيكي صغير",56,507,كيك,items/507.jpg,1,0,REVIEW,items/507.jpg
"الكيك والحلويات",موس.jpg,موس,185,794,"حلويات شرقية",items/794.jpg,1,0,REVIEW,items/794.jpg
"الكيك والحلويات","قالب كيك صغير.jpg","قالب كيك صغير اسبشل",86,561,كيك,items/561.jpg,0.965,0,REVIEW,items/561.jpg
"الكيك والحلويات","قالب كيك كبير.jpg","قالب كيك كبير اسبشل",85,560,كيك,items/560.jpg,0.965,0,REVIEW,items/560.jpg
"الكيك والحلويات","كرانش بار.jpg","كرنش بار",90,565,كيك,items/565.jpg,0.933,0,REVIEW,items/565.jpg
"الكيك والحلويات","قطع كيك سبيشل.jpg","قطع كيك اسبشل",98,573,كيك,items/573.jpg,0.909,0,REVIEW,items/573.jpg
"الكيك والحلويات","قالب كيك اسبيسشل صغير.jpg","قالب كيك كلاسيكي صغير",53,501,كيك,items/501.jpg,0.806,0,REVIEW,items/501.jpg
"الكيك والحلويات","قالب كيك اسبيسشل كبير.jpeg","قالب كيك كلاسيكي كبير",54,503,كيك,items/503.jpg,0.806,0,REVIEW,items/503.jpeg
"الكيك والحلويات","قالب نص بلاطة.jpg","قالب جيبلاتو",263,10800,جيلاتو,,0.773,0,REVIEW,items/10800.jpg
"الكيك والحلويات","سويس رول.jpg","كيك سويسرون",88,563,كيك,items/563.jpg,0.765,0,REVIEW,items/563.jpg
المشروبات,"آيس كافي.jpg","ايس كافي",197,806,مشاريب,items/806.jpg,1,0,REVIEW,items/806.jpg
المشروبات,"ايس موكا.jpg","ايس موكا",196,805,مشاريب,items/805.jpg,1,0,REVIEW,items/805.jpg
المشروبات,شاي.jpg,شاي,207,819,مشاريب,items/819.jpg,1,0,REVIEW,items/819.jpg
المشروبات,"عصير أناناس.jpg","عصير اناناس",194,803,مشاريب,items/803.jpg,1,0,REVIEW,items/803.jpg
المشروبات,"عصير الموسم.jpg","عصير الموسم",218,833,مشاريب,items/833.jpg,1,0,REVIEW,items/833.jpg
المشروبات,"قهوة تركي دبل.jpg","قهوة تركي دبل",205,817,مشاريب,items/817.jpg,1,0,REVIEW,items/817.jpg
المشروبات,"قهوة تركي سينجل.jpg","قهوة تركي سينجل",206,818,مشاريب,items/818.jpg,1,0,REVIEW,items/818.jpg
المشروبات,كابتشينو.jpg,كابتشينو,209,821,مشاريب,items/821.jpg,1,0,REVIEW,items/821.jpg
المشروبات,موهيتو.jpg,موهيتو,216,831,مشاريب,items/831.jpg,1,0,REVIEW,items/831.jpg
المشروبات,"ميلك شيك اسبشل.jpg","ميلك شيك اسبشل",219,834,مشاريب,items/834.jpg,1,0,REVIEW,items/834.jpg
المشروبات,نسكافيه.jpg,نسكافية,208,820,مشاريب,items/820.jpg,1,0,REVIEW,items/820.jpg
المشروبات,"شوكو بارد.jpg","شوكوا بارد",195,804,مشاريب,items/804.jpg,0.941,0,REVIEW,items/804.jpg
المشروبات,أفوكادو.jpg,"عصير افوكادو",215,830,مشاريب,items/830.jpg,0.928,0,REVIEW,items/830.jpg
المشروبات,"اسبريسو سينجل.jpg","سبرسو سينجل",204,816,مشاريب,items/816.jpg,0.909,0,REVIEW,items/816.jpg
المشروبات,"اسبريسو دبل.jpg","سبرسو دبل",203,815,مشاريب,items/815.jpg,0.889,0,REVIEW,items/815.jpg
المشروبات,"مياه معدنية 200 ملم.jpg","مياه معدنية صغير 200 مل",198,809,مشاريب,items/809.jpg,0.844,0,REVIEW,items/809.jpg
المشروبات,"مياه معدنية 500 ملم.jpg","مياه معدنية صغير 200 مل",198,809,مشاريب,items/809.jpg,0.813,0,REVIEW,items/809.jpg
المشروبات,"ليمون ونعنع.jpg","عصير ليمون بالنعنع",213,828,مشاريب,items/828.jpg,0.731,0,REVIEW,items/828.jpg
المشروبات,سبرايت.jpg,سبانخ,47,406,معجنات,,0.727,0,REVIEW,items/406.jpg
المشروبات,بلو.jpg,"بلورية لوز",264,747,"حلويات شرقية",,0.65,0,NO_MATCH,items/747.jpg
المشروبات,"كوكا كولا.jpg","كيك نوتيلا",89,564,كيك,,0.647,0,NO_MATCH,items/564.jpg
"الوجبات الغربية","تشكن فرايز.png","تشكن فرايز",19,339,"وجبات غربية",items/339.png,1,0,REVIEW,items/339.png
"الوجبات الغربية",زينجر.jpg,زينجر,24,344,"وجبات غربية",,1,0,REVIEW,items/344.jpg
"الوجبات الغربية","شيش طاووق.jpg","كيلو شيش طاووق",26,346,"وجبات غربية",,0.95,0,REVIEW,items/346.jpg
"الوجبات الغربية","تشكن بيتزا.jpg","سندوش تشكن بيتزا",28,351,"وجبات غربية",items/351.jpg,0.933,0,REVIEW,items/351.jpg
"الوجبات الغربية","بيغ ماك.jpg","بيج ماك",17,336,"وجبات غربية",items/336.jpg,0.917,0,REVIEW,items/336.jpg
"الوجبات الغربية","فطيرة الذهبية.jpg","فطيرة ذهبية",25,345,"وجبات غربية",items/345.jpg,0.909,0,REVIEW,items/345.jpg
"الوجبات الغربية","بيف برجر.jpg","تشيكن برغر",23,343,"وجبات غربية",,0.688,0,NO_MATCH,items/343.jpg
